PARCodigo,PARNombrePar,PARtipo,PARplazasRotacion,PARplazasResidente,PARplazasDisuasorias,PARdistrito
5006,LUNA TUDESCOS,ROTACIÓN,481,,,CENTRO              
5012,OLAVIDE,ROTACIÓN,397,,,CHAMBERI            
5010,MOSTENSES,ROTACIÓN,361,,,CENTRO              
5000,ALMAGRO,ROTACIÓN,463,,,CHAMBERI            
5020,VILLA DE PARÍS,ROTACIÓN,169,,,CENTRO              
5001,PLAZA DE COLÓN,ROTACIÓN,611,,,CENTRO              
5018,PLAZA DE SANTA ANA,ROTACIÓN,325,,,CENTRO              
423,VELÁZQUEZ JORGE JUAN,MIXTO,548,395,,SALAMANCA           
424,VELÁZQUEZ AYALA,MIXTO,443,230,,SALAMANCA           
110,JACINTO BENAVENTE,MIXTO,276,110,,CENTRO              
114,SEVILLA,MIXTO,649,74,,CENTRO              
714,FUENCARRAL,MIXTO,291,218,,CHAMBERI            
5004,PLAZA DE ESPAÑA,MIXTO,694,106,,MONCLOA-ARAVACA     
422,FELIPE II,MIXTO,1175,615,,SALAMANCA           
5009,MONTALBÁN,MIXTO,130,146,,RETIRO              
5008,PLAZA MAYOR,MIXTO,415,279,,CENTRO              
5002,PLAZA DE LAS CORTES,ROTACIÓN,479,,,CENTRO              
5019,VELÁZQUEZ JUAN BRAVO,ROTACIÓN,371,,,SALAMANCA           
5007,MARQUÉS DE URQUIJO,ROTACIÓN,482,,,MONCLOA-ARAVACA     
111,ARQUITECTO RIBERA (BARCELÓ),MIXTO,318,298,,CENTRO              
113,PLAZA DEL CARMEN (CERRADO),ROTACIÓN,450,,,CENTRO              
5003,DESCALZAS,ROTACIÓN,400,,,CENTRO              
5014,PLAZA DEL REY,ROTACIÓN,170,,,CENTRO              
602,BRASIL,MIXTO,226,402,,TETUAN              
421,RECOLETOS (CERRADO),MIXTO,281,102,,SALAMANCA           
607,CONDESA DE GAVIA,MIXTO,146,79,,TETUAN              
5016,PUERTA DE TOLEDO,ROTACIÓN,240,,,CENTRO              
604,JOSÉ CASTÁN TOBEÑAS,MIXTO,226,43,,TETUAN              
205,RUTILIO GACÍS,RESIDENTES,,605,,ARGANZUELA          
503,PRADILLO I,RESIDENTES,,143,,CHAMARTIN           
501,URUGUAY,RESIDENTES,,246,,CHAMARTIN           
408,MARQUÉS DE ZAFRA,RESIDENTES,,192,,SALAMANCA           
803,RIBADEO,RESIDENTES,,221,,FUENCARRAL-EL PARDO 
606,SOR ÁNGELA DE LA CRUZ,RESIDENTES,,250,,TETUAN              
1508,VITAL AZA,RESIDENTES,,202,,CIUDAD LINEAL       
407,AMÉRICA ESPAÑOLA,RESIDENTES,,282,,SALAMANCA           
405,BOSTON,RESIDENTES,,353,,SALAMANCA           
1606,SANTA SUSANA,RESIDENTES,,329,,HORTALEZA           
406,NARVÁEZ,RESIDENTES,,523,,SALAMANCA           
807,FINISTERRE,RESIDENTES,,305,,FUENCARRAL-EL PARDO 
1002,CAMARENA,RESIDENTES,,192,,LATINA              
1602,CUEVAS DE ALMANZORA,RESIDENTES,,203,,HORTALEZA           
808,LA BAÑEZA,RESIDENTES,,239,,FUENCARRAL-EL PARDO 
804,ISLA DE AROSA,RESIDENTES,,189,,FUENCARRAL-EL PARDO 
502,CLARA DEL REY,RESIDENTES,,179,,CHAMARTIN           
504,CORAZÓN DE MARÍA I,RESIDENTES,,166,,CHAMARTIN           
507,JUAN HURTADO DE MENDOZA,RESIDENTES,,269,,CHAMARTIN           
505,RAFAEL SALGADO,RESIDENTES,,372,,CHAMARTIN           
506,SANTO DOMINGO DE SILOS,RESIDENTES,,252,,CHAMARTIN           
1005,MIRABEL,RESIDENTES,,617,,LATINA              
1007,RAFAEL FINAT,RESIDENTES,,311,,LATINA              
1006,OSA DE LA VEGA,RESIDENTES,,294,,LATINA              
1009,TEMBLEQUE,RESIDENTES,,562,,LATINA              
611,VICENTE GACEO,RESIDENTES,,268,,TETUAN              
612,ÁNGEL CARBAJO,RESIDENTES,,469,,TETUAN              
613,SAN GERMÁN II,MIXTO,419,713,,TETUAN              
605,MÜLLER,RESIDENTES,,139,,TETUAN              
609,PABLO IGLESIAS II,RESIDENTES,,504,,TETUAN              
102,CAMPILLO DEL MUNDO NUEVO,RESIDENTES,,452,,CENTRO              
1412,NUESTRA SEÑORA DE GRACIA,RESIDENTES,,580,,MORATALAZ           
1515,GERARDO CORDÓN,RESIDENTES,,219,,CIUDAD LINEAL       
1414,MARROQUINA,RESIDENTES,,683,,MORATALAZ           
412,GOYA,RESIDENTES,,668,,SALAMANCA           
510,VALPARAISO,RESIDENTES,,582,,CHAMARTIN           
1413,ENCOMIENDA DE PALACIOS,RESIDENTES,,320,,MORATALAZ           
1008,GARCÍA ESCÁMEZ,RESIDENTES,,260,,LATINA              
1001,JOSÉ DE CADALSO,RESIDENTES,,259,,LATINA              
1004,GARROVILLAS,RESIDENTES,,324,,LATINA              
